Regions,Target'000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guj / D&D / DNH - 10-75L,"16,101.78","3,700.97","6,047.26","5,530.08","4,524.44","15,365.31","8,547.65","7,554.13","2,739.36","3,549.28","3,445.58","2,635.66","2,945.35","2,669.40","1,962.89","1,258.29","1,080.92","1,795.09","5,581.00","1,839.15","2,380.59","5,747.92","3,785.92","2,147.09","8,128.51",979.09,"2,710.00","1,380.70","1,936.98","8,250.40","3,445.58","5,581.00","2,604.95","4,138.13","3,159.15","1,726.97",980.11,"2,466.50","1,298.50","3,517.09","5,264.11","2,385.84","11,162.33","3,351.11","7,727.11",n.a,446.11,534.01,400.59,270.23,322.41,418.97,635.44,550.91,413.13,311.30,272.56,"1,609.79","2,176.12","1,962.01","1,555.08","1,013.04",880.71,766.37,966.06,970.93,773.02,500.39,455.61,843.43,"1,210.07",991.08,782.06,512.65,425.10,"1,789.51","4,685.21"
Mah / Goa - 10-75L,"11,263.45","2,793.94","4,610.66","3,845.14","2,807.66","10,999.18","5,661.76","5,601.69","2,024.69","2,566.25","1,992.78","1,451.22","2,126.27","2,086.93","1,389.25",861.50,782.03,"1,130.63","3,577.49","1,360.68","1,997.33","4,032.95","2,446.86","1,288.06","6,030.28",618.11,"2,105.70","1,226.51","1,564.55","5,664.42","1,992.78","3,577.49","2,058.39","3,136.41","1,925.60","1,201.53",923.72,"1,374.67",n.a,"2,700.76","3,467.85","1,384.04","8,079.68","2,566.25","5,678.90",n.a,471.20,452.52,n.a,n.a,n.a,n.a,n.a,459.17,n.a,n.a,n.a,896.54,"1,550.32","1,586.09","1,114.67",715.75,595.09,383.06,796.78,767.78,541.14,370.30,316.99,513.49,753.54,818.31,573.53,345.46,278.10,"1,552.25","3,525.89"
Kerala - 10-75L,"11,851.00","3,007.98","4,749.56","4,610.33","2,491.11","11,714.69","5,666.01","6,184.99","1,973.23","2,539.36","1,800.93","1,234.79","1,794.51","1,922.87","1,642.06","1,266.83","1,450.58",n.a,"3,029.30","1,244.69","2,025.30","4,019.81","2,424.38","1,342.20","6,045.11",574.15,"2,296.76","1,150.22","1,620.29","4,952.17","1,800.93","3,029.30","1,988.11","3,071.20","1,770.70","1,156.63",846.26,"1,226.78",n.a,"2,868.23","3,006.48","1,211.97","7,429.98","2,531.96","6,347.67",n.a,n.a,n.a,n.a,274.21,262.66,n.a,n.a,429.41,n.a,n.a,316.13,948.61,"1,475.77","1,595.43","1,272.80",952.43,"1,089.55",n.a,752.68,867.61,676.47,486.28,523.40,518.59,723.09,727.82,596.32,466.15,566.15,"1,631.33","4,220.44"
MP/Chhattisgarh - 10-75L,"9,388.80","2,212.99","2,995.93","3,071.03","3,321.85","8,683.18","4,866.19","4,522.62","1,812.74","2,399.73","1,974.68","1,387.70","1,793.97","1,504.08","1,120.34",660.30,522.70,"1,346.65","3,181.66",821.96,"1,465.65","2,859.35","1,835.01","1,048.80","4,325.00",461.26,"1,467.80",722.85,"1,058.90","4,685.74","1,974.68","3,181.66","1,553.10","2,118.37","1,742.85","1,112.23",505.44,"1,513.42",925.88,"1,839.80","2,886.39","1,208.33","6,476.30","2,184.35","4,216.94",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,740.98,"1,094.03","1,024.34",815.46,520.47,406.03,361.24,543.70,515.20,408.90,n.a,n.a,n.a,550.33,509.15,406.56,250.71,n.a,957.08,"2,656.70"
UP/Uttarakhand - Below 10L Urban,"23,866.38","4,621.67","8,370.76","6,581.24","8,914.39","21,807.13","12,464.05","11,402.34","5,058.17","6,493.56","5,511.91","4,076.52","4,255.04","3,482.40","2,568.17","1,553.60","1,437.10","3,459.44","8,331.56","2,593.53","3,754.47","7,129.68","4,872.12","2,996.13","10,884.15","1,482.95","3,173.75","1,791.65","2,330.73","11,813.96","5,511.91","8,331.56","3,416.88","4,869.89","4,908.67","2,402.31","1,320.24","4,028.96","2,515.78","4,064.53","7,489.96","3,585.00","16,569.06","5,864.25","9,964.88",465.45,689.94,630.30,471.41,396.85,330.18,664.72,773.42,663.75,552.62,310.23,468.82,"2,259.79","2,612.33","2,257.56","1,806.97","1,150.11","1,110.77",952.31,"1,216.68","1,114.05",843.02,591.13,482.00,"1,307.48","1,395.65","1,143.51",963.95,558.98,628.77,"2,707.59","5,938.87"
Guj / D&D / DNH - Below 10L Urban,"12,765.29","2,891.71","3,575.38","4,449.46","4,740.45","11,885.15","6,678.73","6,086.56","2,212.83","2,837.29","2,697.89","2,073.43","2,716.09","2,038.25","1,412.09",878.23,809.91,"2,063.95","4,789.52","1,142.69","1,741.13","4,118.87","2,725.57","1,539.61","5,860.00",668.85,"1,967.32",893.89,"1,470.65","6,827.77","2,697.89","4,789.52","2,148.17","2,982.35","2,472.59","1,612.12",677.60,"2,029.03","1,158.28","2,388.95","4,434.43","1,889.74","8,995.67","2,645.33","6,016.25",n.a,n.a,331.69,n.a,n.a,n.a,n.a,n.a,312.67,n.a,n.a,n.a,"1,136.52","1,589.04","1,393.30",995.65,617.28,551.90,502.17,803.33,667.32,496.67,313.15,297.69,634.35,785.71,725.98,498.98,304.13,254.22,"1,238.42","3,586.26"
Mah / Goa - Below 10L Urban,"22,048.41","4,933.34","6,715.95","7,299.43","8,033.02","20,295.59","11,255.17","10,793.23","3,959.18","5,158.34","4,280.93","3,081.77","4,120.32","3,590.50","2,794.50","1,651.97","1,651.01","3,132.14","7,202.08","1,965.22","3,260.69","6,362.84","4,069.94","2,373.83","9,623.52","1,065.41","3,332.48","1,627.94","2,344.71","10,792.59","4,280.93","7,202.08","3,531.35","4,711.02","3,790.28","2,717.38","1,139.95","3,215.52","1,907.10","4,270.38","6,584.32","2,704.98","14,638.42","4,753.89","10,259.45",n.a,631.54,508.41,487.99,276.01,296.52,414.91,564.23,609.67,467.99,314.15,284.82,"1,651.81","2,418.13","2,292.89","1,977.48","1,229.17","1,185.21",764.44,"1,243.05","1,101.66",987.77,596.64,607.71,887.38,"1,175.08","1,191.24",989.71,632.53,577.49,"2,223.19","6,315.98"
Karnataka - Below 10L Urban,"16,711.53","3,997.30","4,365.58","5,559.49","6,786.47","15,194.03","8,397.53","8,314.00","2,935.82","3,902.86","3,364.57","2,397.53","3,111.76","2,676.09","2,070.20","1,375.70","1,177.37","2,604.60","5,509.29","1,291.56","2,309.24","4,553.96","2,904.69","1,613.88","6,863.21",602.56,"2,394.23","1,111.30","1,763.38","8,185.39","3,364.57","5,509.29","2,664.17","3,443.64","2,957.57","2,111.31",843.77,"2,762.01","1,750.68","2,968.99","4,892.91","2,062.51","10,914.37","3,582.64","7,635.45",n.a,495.34,348.43,267.53,n.a,n.a,n.a,389.20,349.47,296.36,n.a,232.42,"1,110.32","1,794.37","1,649.27","1,319.71",934.69,807.46,595.56,959.11,804.26,630.86,466.98,404.53,514.76,835.26,845.01,688.85,467.71,402.93,"1,516.07","4,773.69"
Kerala - Below 10L Urban,"4,146.70","1,107.02","1,489.02","1,748.03",909.65,"4,114.29","1,945.76","2,200.93",675.96,869.72,715.16,521.40,506.61,630.41,645.85,467.54,505.18,n.a,"1,028.01",368.71,752.57,"1,289.73",795.06,548.95,"2,042.30",n.a,804.24,367.58,518.40,"1,658.42",715.16,"1,028.01",649.36,920.68,715.16,397.53,n.a,502.31,n.a,990.49,"1,028.01",521.40,"2,524.42",869.72,"2,084.53",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,426.01,494.67,495.82,368.15,330.78,n.a,n.a,n.a,n.a,175.14,167.16,n.a,n.a,n.a,n.a,n.a,163.62,490.24,"1,482.02"
MP/Chhattisgarh - Below 10L Urban,"16,193.45","3,710.54","4,481.94","4,493.61","7,217.90","14,531.92","8,222.56","7,970.89","3,023.07","3,824.66","3,364.55","2,562.97","3,131.87","2,660.52","1,921.94","1,179.36",912.14,"2,920.55","5,694.84","1,286.97","1,962.87","4,295.03","2,774.29","1,612.58","6,257.91",730.54,"2,079.18","1,046.73","1,465.17","8,355.35","3,364.55","5,694.84","2,493.40","3,087.62","2,946.77","2,061.78",752.64,"2,634.02","1,751.97","2,818.32","4,968.43","2,203.76","10,894.35","3,524.99","7,046.95",n.a,365.47,387.17,294.08,n.a,n.a,335.77,370.03,416.09,348.71,n.a,n.a,"1,207.41","1,566.88","1,520.74","1,297.58",785.25,634.81,503.50,715.00,750.17,614.01,375.13,333.78,703.91,851.87,770.58,683.57,410.12,301.03,"1,438.17","4,293.14"
Pun / Har / Cha / HP / J&K - Rural,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
UP/Uttarakhand - Rural,"53,618.78","10,227.80","14,012.51","17,841.49","21,764.78","48,771.76","28,059.82","25,558.96","12,479.18","16,432.80","12,322.61","8,368.99","9,543.17","6,735.06","5,303.53","3,611.97","3,623.26","7,482.10","17,912.16","4,496.75","9,362.93","14,494.39","10,430.06","6,354.21","23,857.32","2,414.24","5,785.62","2,560.37","4,549.96","24,647.22","12,322.61","17,912.16","7,082.90","9,918.87","10,576.01","5,868.57","2,025.03","9,908.37","5,968.39","7,277.09","16,167.98","7,305.60","37,396.48","14,968.21","21,925.49",801.18,"1,245.42",779.60,535.34,597.38,657.74,988.33,"1,461.82",991.58,974.95,461.10,660.95,"4,575.51","5,854.55","4,064.33","3,212.77","2,288.15","2,495.76","2,144.92","2,662.05","1,887.91","1,235.67","1,197.90","1,270.31","2,430.59","3,192.50","2,176.42","1,977.10","1,090.25","1,225.45","4,598.27","12,417.50"
Rajasthan - Rural,"27,544.48","5,773.14","6,204.00","11,298.24","10,042.25","26,506.31","14,692.30","12,852.18","6,424.99","8,334.98","5,763.29","3,853.30","4,704.56","4,312.14","3,203.53","1,721.01","1,414.96","3,156.36","8,557.86","1,790.27","5,277.80","8,224.22","5,401.50","3,579.94","13,502.01","1,054.52","3,589.37","1,332.10","2,741.98","12,870.00","5,763.29","8,557.86","3,997.22","5,807.79","5,488.73","3,188.38","1,020.86","4,708.77","2,183.35","4,904.46","8,397.43","3,692.87","20,310.67","7,871.79","11,821.32",n.a,n.a,596.27,n.a,n.a,n.a,n.a,644.95,498.20,n.a,n.a,n.a,"2,416.43","2,985.07","2,822.72","2,081.74","1,025.14",893.34,"1,033.55","1,194.71","1,547.27",847.38,601.75,498.91,"1,382.88","1,790.35","1,275.45","1,234.36",423.39,394.43,"2,055.10","7,134.12"
Assam / North East / Sikkim - Rural,"21,770.91","4,695.14","2,446.49","5,161.21","14,163.21","16,795.00","11,624.00","10,146.90","4,890.56","6,169.07","4,708.79","3,430.27","3,743.53","3,443.19","2,454.67","1,347.47","1,182.70","4,906.65","7,173.81",n.a,"1,952.02","3,754.11","2,267.15","1,433.87","5,706.13",n.a,"1,624.92",n.a,"1,211.63","10,616.99","4,708.79","7,173.81","2,584.31","2,684.26","3,360.64","2,987.69",n.a,"4,309.62","3,274.92","2,349.30","5,418.33","2,463.79","12,799.52","4,579.26","7,842.83",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,069.85","1,197.30","1,486.96",862.34,472.57,566.66,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,759.88,"4,519.38"
Odisha - Rural,"21,370.12","5,226.91","3,198.30","6,980.13","11,191.68","18,550.04","10,126.12","11,244.00","4,559.72","5,887.91","3,916.63","2,588.44","4,189.01","3,107.60","2,431.71","1,692.75","1,472.70","3,819.37","6,777.45",874.71,"2,741.81","4,489.67","2,958.09","1,756.34","7,231.48",n.a,"2,299.35",684.72,"1,666.64","9,885.05","3,916.63","6,777.45","3,218.36","3,338.49","3,260.65","3,188.19",508.78,"3,491.94","2,160.29","2,770.10","5,916.89","2,184.28","13,571.09","4,966.07","9,254.96",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,151.18","1,806.91","1,531.58","1,238.52",925.05,783.39,641.68,917.94,748.70,632.71,388.18,481.16,509.50,888.97,782.89,605.80,536.87,302.22,"1,095.09","5,848.23"
West Bengal - Rural,"31,579.37","8,211.34","2,407.92","7,698.29","21,473.16","25,858.87","16,884.44","14,694.93","6,026.23","7,740.34","6,995.08","5,280.98","5,456.42","5,344.02","3,405.44","2,377.00","1,975.19","7,455.75","10,737.39",769.75,"2,335.64","4,912.43","3,281.64","1,885.75","7,248.07",n.a,"1,961.55",501.64,"1,518.57","16,081.41","6,995.08","10,737.39","4,305.91","3,453.50","5,568.61","4,898.79",405.76,"6,609.47","5,109.33","2,758.36","8,714.24","4,110.98","19,339.11","6,274.17","12,695.25",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,458.93","1,822.71","1,630.78","1,127.58",949.04,781.52,565.53,869.18,649.39,442.98,367.00,453.82,893.40,953.53,981.39,684.60,582.04,327.70,746.84,"7,025.53"
Guj / D&D / DNH - Rural,"29,756.72","6,325.33","5,281.10","10,042.66","14,432.96","26,365.31","15,248.43","14,508.29","7,080.99","9,223.86","6,731.06","4,588.19","4,709.10","4,339.05","3,339.92","1,989.29","1,567.30","4,688.19","9,297.29","1,583.12","4,307.01","7,018.97","4,609.10","3,219.94","11,325.98","1,018.95","3,386.03","1,195.61","2,409.57","13,636.34","6,731.06","9,297.29","4,024.05","4,755.90","5,779.15","3,687.82",804.42,"5,712.11","3,511.13","4,328.19","7,972.25","3,807.70","20,247.39","8,316.04","11,254.50",n.a,n.a,n.a,391.19,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"2,263.07","2,346.03","2,409.87","1,918.32","1,143.83",935.62,"1,187.80","1,168.83","1,240.74",976.46,641.39,636.98,"1,075.27","1,177.20","1,169.13",941.86,502.45,298.64,"1,785.69","7,407.29"
Mah / Goa - Rural,"54,177.02","12,436.22","10,528.14","19,323.23","24,325.65","47,999.78","28,046.49","26,130.52","11,184.67","14,315.31","11,564.59","8,433.95","8,580.47","7,998.66","5,924.94","4,081.11","4,842.57","8,803.50","17,014.42","2,700.82","8,144.98","12,943.88","8,210.92","5,474.01","21,088.86","1,677.65","5,838.73","2,011.62","4,339.35","25,013.08","11,564.59","17,014.42","7,132.53","9,154.31","10,134.69","6,559.88","1,541.84","9,886.94","6,090.58","8,201.61","15,142.43","7,369.68","34,735.00","12,550.77","22,813.07",535.69,764.34,777.50,469.78,486.31,667.37,573.49,827.30,974.69,646.05,432.71,479.23,"3,789.57","4,421.35","4,732.96","3,468.65","2,427.27","2,866.59","1,837.50","2,164.09","2,175.26","1,499.38","1,271.23","1,584.19","1,952.07","2,257.26","2,557.70","1,969.27","1,156.04","1,282.40","3,069.81","13,640.31"
AP / Telangana - Rural,"56,781.45","15,848.22","5,284.40","16,080.17","35,416.89","49,404.01","27,752.39","29,029.06","9,597.46","13,071.28","11,970.34","8,496.51","10,064.83","8,985.46","6,528.65","4,472.28","5,162.44","11,852.36","18,561.34","1,611.76","5,530.25","10,154.27","6,708.98","3,972.95","15,684.52",790.60,"4,849.05","1,215.29","3,642.80","27,546.80","11,970.34","18,561.34","8,673.11","7,613.41","10,324.10","8,937.64",961.38,"11,179.74","7,997.39","5,811.33","16,378.98","7,291.28","35,749.33","11,529.83","24,812.79",n.a,610.58,350.80,253.91,274.06,n.a,n.a,499.30,521.09,267.32,144.36,212.55,"2,540.86","4,168.13","3,445.29","2,366.05","1,546.45","1,767.55","1,550.91","2,142.63","1,500.17","1,206.25",981.04,914.17,989.94,"2,025.50","1,945.12","1,159.80",565.42,853.39,"2,108.18","15,721.32"
Karnataka - Rural,"38,728.11","9,040.82","5,409.46","14,478.74","18,839.91","33,797.78","19,543.02","19,185.08","7,028.70","9,685.87","8,268.61","5,611.44","7,016.20","5,551.95","4,486.67","2,957.78","3,418.19","6,462.40","12,627.65","1,649.26","4,621.14","9,298.86","6,165.25","3,999.48","13,920.00",983.62,"3,990.71","1,104.87","2,988.01","18,179.59","8,268.61","12,627.65","5,607.37","6,435.85","7,155.35","5,509.44",856.20,"7,284.99","4,269.13","5,447.82","11,117.98","4,904.52","24,271.67","8,168.84","16,835.82",n.a,462.15,394.05,248.67,226.75,347.53,409.23,464.24,513.00,365.55,n.a,280.73,"2,863.01","3,302.24","3,133.61","2,314.21","1,685.54","1,968.45","1,399.81","1,553.43","1,434.58","1,002.70",905.52,"1,086.77","1,463.19","1,748.81","1,699.03","1,311.51",780.02,881.68,"1,688.41","10,396.67"
Kerala - Rural,"16,397.63","4,478.45","5,531.39","5,713.95","5,152.29","15,621.76","7,942.74","8,454.88","2,736.47","3,442.40","2,235.56","1,529.63","2,535.46","2,636.57","2,570.74","1,837.75","1,845.08","1,049.73","4,065.09","1,523.62","2,299.44","5,001.35","3,015.36","1,589.28","7,300.79",631.92,"2,931.75","1,534.98","2,062.52","6,701.65","2,235.56","4,065.09","2,643.76","3,917.82","2,136.50","1,496.16","1,212.89","1,603.63",n.a,"3,666.90","3,917.62","1,451.66","9,769.36","3,263.49","8,467.03",n.a,n.a,n.a,n.a,313.70,283.71,n.a,n.a,n.a,n.a,n.a,233.03,"1,083.53","1,931.83","1,985.99","1,680.90","1,187.55","1,076.10",n.a,"1,040.36","1,022.15",869.23,654.87,627.64,512.65,891.46,963.84,811.67,532.68,448.46,"1,928.79","5,749.02"
TN/Pondicherry - Rural,"40,577.88","11,279.24","8,678.82","14,858.53","17,040.53","37,189.33","20,100.07","20,477.82","6,705.92","8,605.91","7,369.96","5,469.96","6,973.01","6,489.62","5,428.89","3,919.09","3,691.40","5,082.05","12,442.98","2,733.92","4,877.80","11,376.98","7,360.92","4,017.99","16,254.78","1,254.80","5,898.06","2,267.02","4,302.64","18,932.60","7,369.96","12,442.98","6,583.22","8,298.86","6,759.65","5,307.47","1,690.84","6,115.15","3,351.97","7,293.45","11,617.39","4,998.66","25,757.59","8,024.76","19,218.07",n.a,946.57,744.27,576.19,419.83,n.a,517.61,790.84,831.94,577.22,386.35,342.60,"3,078.12","4,282.80","4,016.06","3,277.39","2,115.58","1,889.60","1,509.86","2,249.43","2,053.21","1,595.43","1,045.39",952.70,"1,568.26","2,033.37","1,962.85","1,681.97","1,070.19",936.90,"3,034.58","12,294.03"
Bihar/Jharkhand - Rural,"32,441.20","6,762.10","4,394.68","10,487.58","17,558.94","27,321.27","17,118.45","15,322.76","8,914.43","11,799.17","7,650.87","4,766.13","5,160.12","4,153.03","2,842.90","1,904.58","1,815.28","5,448.20","9,926.25","1,372.71","5,217.78","6,162.18","4,478.05","3,269.33","11,379.96",796.94,"2,842.23",893.63,"2,180.97","14,079.28","7,650.87","9,926.25","4,212.70","4,211.47","6,535.31","4,181.87",663.24,"6,853.93","4,381.54","3,201.62","8,659.12","4,056.29","21,763.46","9,736.27","10,964.45",n.a,411.06,n.a,n.a,n.a,n.a,350.04,404.88,293.07,n.a,n.a,n.a,"1,950.72","2,527.33","1,684.14","1,517.49",942.27,"1,042.54",871.10,"1,347.42",833.55,661.26,448.03,420.15,"1,079.62","1,179.91",850.59,856.23,494.24,622.39,"1,394.13","6,746.21"
MP/Chhattisgarh - Rural,"41,051.60","10,482.33","4,060.34","12,405.25","24,586.02","34,262.36","20,363.38","20,688.22","11,131.73","14,599.84","8,575.24","5,107.14","7,008.17","6,619.29","3,973.07","2,010.00","1,734.10","8,042.99","12,115.30","1,042.66","6,177.37","6,818.10","4,072.31","2,730.98","12,995.47",485.28,"3,372.88",892.24,"2,545.34","18,734.59","8,575.24","12,115.30","5,638.13","5,371.03","6,372.21","5,997.90",670.49,"8,089.96","5,844.26","4,698.26","10,293.60","3,429.79","27,974.08","12,497.06","15,098.76",n.a,384.57,285.92,221.75,n.a,n.a,n.a,373.43,419.52,n.a,n.a,n.a,"1,447.07","2,625.24","2,745.79","1,952.47",869.77,647.88,643.92,"1,270.96","1,274.38",827.55,603.41,391.20,803.15,"1,354.27","1,471.42","1,124.92",266.36,256.68,"1,424.87","9,055.63"
Pun/Cha - Rural,"17,525.17","3,845.33","7,110.63","5,801.85","4,612.69","17,470.66","9,237.85","8,287.32","3,336.15","4,137.68","3,312.28","2,510.75","2,947.32","2,689.53","2,089.66","1,326.99","1,823.24","1,667.01","5,458.06","1,886.90","3,095.26","5,797.69","3,791.05","2,294.83","8,892.95","1,090.15","2,907.46","1,681.86","2,057.95","8,147.59","3,312.28","5,458.06","2,724.59","4,107.16","3,292.57","1,581.50","1,161.97","2,222.13",n.a,"3,610.62","5,439.19","2,510.75","12,246.69","4,117.97","8,752.27",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,690.53","2,100.52","2,006.64","1,603.98","1,082.96","1,332.59",n.a,n.a,"1,117.45",n.a,n.a,n.a,n.a,"1,160.02",889.19,754.47,n.a,n.a,"2,272.66","5,400.54"
Har/HP/J&K - Rural,"21,950.21","4,588.62","9,707.49","6,821.39","5,421.32","21,066.82","11,561.12","10,389.09","4,994.24","6,223.39","4,093.59","2,864.43","4,066.43","3,519.38","2,229.82","1,602.33","1,444.42","1,680.29","6,930.86","3,065.37","4,556.37","7,858.07","5,250.58","2,811.37","12,414.44","1,627.26","3,622.11","2,158.18","2,791.98","10,450.24","4,093.59","6,930.86","3,534.84","5,809.37","3,838.82","1,911.52","1,701.60","2,466.33",n.a,"4,267.70","6,785.97","2,719.54","16,012.57","5,831.57","10,406.70",n.a,874.35,827.25,456.59,n.a,n.a,659.78,"1,020.04",737.84,n.a,413.46,n.a,"2,048.70","3,201.88","2,607.49","1,660.21","1,240.16","1,214.08",923.40,"1,455.69","1,336.29",830.13,586.36,547.20,"1,125.30","1,746.19","1,271.20",830.08,653.80,666.88,"3,454.35","5,964.43"
India Urban,"383,221.05","90,986.91","135,902.58","117,174.19","130,144.28","358,872.53","196,464.34","186,756.72","67,843.91","87,614.86","74,729.18","54,958.23","71,158.10","63,706.42","47,264.35","30,629.22","27,889.86","48,072.95","126,116.33","41,049.90","56,222.00","121,404.65","78,043.38","43,818.88","177,626.65","20,940.88","60,111.36","32,564.86","43,933.87","189,822.75","74,729.18","126,116.33","63,263.12","89,262.81","68,401.68","43,102.26","24,046.98","53,788.29","30,910.29","76,741.06","117,467.88","50,166.48","259,179.93","81,659.62","182,361.56","7,017.06","12,556.90","11,490.08","8,517.88","6,140.54","5,816.00","8,519.20","12,956.75","12,350.09","9,107.09","6,044.78","6,223.26","32,141.84","45,901.55","43,361.26","33,379.80","22,033.81","20,036.52","14,737.14","22,634.67","21,299.19","16,177.49","10,792.93","9,882.81","17,404.70","23,266.87","22,062.07","17,202.31","11,240.87","10,153.70","44,622.60","111,901.01"
