Regions,Target'000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSM below 10L Urban,"141,312.34","30,920.81","44,873.57","41,173.40","55,265.38","129,271.53","72,979.16","68,333.19","26,792.45","34,411.95","28,865.75","21,246.25","26,502.23","22,606.19","16,628.19","10,382.82","9,534.71","20,845.33","47,748.48","13,627.52","19,898.39","41,007.87","26,903.14","15,682.10","60,906.27","7,444.85","19,779.04","10,378.32","14,493.26","70,354.67","28,865.75","47,748.48","22,388.74","29,448.73","25,868.99","16,668.90","7,623.87","21,420.89","13,183.65","25,257.62","43,431.07","19,007.24","95,370.17","31,078.26","63,782.88","2,399.47","4,018.18","3,605.69","2,754.45","2,017.38","1,942.93","3,146.59","4,063.27","3,844.72","3,030.62","1,997.16","2,141.68","11,559.14","15,344.00","14,104.73","11,152.89","7,197.20","6,790.60","5,122.14","7,533.79","6,959.47","5,285.78","3,485.58","3,347.62","6,437.00","7,810.21","7,145.26","5,867.11","3,711.62","3,442.98","14,673.32","38,692.05"
HSM Rural,"352,785.57","78,574.27","69,351.60","113,861.32","169,572.65","310,968.18","182,962.40","169,823.17","81,022.89","104,864.35","75,634.03","51,792.57","60,108.29","52,260.95","37,199.19","23,664.49","22,895.74","57,150.42","111,900.86","20,229.12","53,168.98","82,473.71","54,750.44","34,810.58","135,642.69","11,374.46","37,230.25","14,413.16","28,013.94","164,161.81","75,634.03","111,900.86","48,455.53","58,612.14","64,207.39","44,052.11","10,889.36","64,259.58","40,823.45","48,367.32","98,907.43","43,651.26","236,396.06","91,709.18","142,829.59","3,589.03","5,731.10","5,158.26","3,523.80","2,912.18","3,295.29","4,456.97","6,452.03","5,644.58","4,338.85","2,559.60","2,874.51","23,861.56","30,888.88","27,723.27","20,644.06","13,366.22","13,559.96","10,906.53","14,606.14","13,407.80","9,216.31","6,962.50","7,218.19","12,955.04","16,282.74","14,315.47","11,427.75","6,403.72","6,341.76","22,656.69","85,159.17"
East,"166,507.45","38,706.35","27,871.93","46,212.63","92,422.90","141,327.08","86,152.64","80,354.81","34,975.34","45,262.91","34,371.52","24,083.94","29,278.33","26,079.45","18,603.54","12,172.44","11,026.84","31,322.66","53,362.27","7,959.59","18,998.80","33,633.44","22,039.61","13,441.69","52,632.24","4,212.57","16,018.26","6,053.42","11,971.44","79,441.72","34,371.52","53,362.27","23,908.00","24,219.21","28,282.99","23,352.89","4,535.61","30,158.94","20,929.82","20,513.58","45,261.90","19,773.08","104,941.25","37,454.15","67,986.00","1,307.16","2,487.34","2,048.27","1,517.81","1,262.16","1,431.87","1,799.39","2,365.70","2,488.55","1,766.83","1,341.95","1,609.47","9,414.23","12,625.37","11,593.83","8,919.74","6,226.11","6,306.46","4,138.07","6,457.99","5,513.45","4,046.82","2,817.51","3,137.50","5,276.16","6,167.38","6,080.38","4,872.92","3,408.60","3,168.96","8,869.26","40,762.11"
East Urban,"59,345.85","13,810.86","15,424.53","15,885.41","28,035.91","52,801.90","30,399.63","28,946.22","10,584.40","13,666.42","11,100.15","8,018.12","10,729.24","10,031.61","7,468.83","4,850.65","4,580.97","9,692.69","18,747.37","4,296.37","6,751.55","14,315.05","9,054.67","5,096.40","21,066.59","2,206.17","7,290.22","3,472.26","5,393.63","28,778.97","11,100.15","18,747.37","9,586.73","10,531.50","9,557.79","8,096.36","2,572.45","8,893.98","6,003.75","9,434.19","16,553.32","6,957.75","37,468.07","11,898.38","27,228.51",754.95,"1,358.11","1,214.34",899.80,791.66,858.03,921.77,"1,261.53","1,385.49","1,032.63",803.01,"1,004.68","3,783.55","5,271.13","5,260.37","4,173.82","2,937.18","3,132.35","1,718.92","2,708.69","2,684.95","1,896.58","1,341.34","1,510.39","2,064.63","2,562.44","2,575.42","2,277.24","1,595.84","1,621.96","4,873.33","16,622.76"
East Rural,"107,161.60","24,895.49","12,447.39","30,327.22","64,386.99","88,525.18","55,753.01","51,408.59","24,390.94","31,596.48","23,271.36","16,065.82","18,549.08","16,047.84","11,134.71","7,321.79","6,445.87","21,629.97","34,614.90","3,663.23","12,247.25","19,318.40","12,984.93","8,345.29","31,565.65","2,006.40","8,728.05","2,581.16","6,577.81","50,662.74","23,271.36","34,614.90","14,321.27","13,687.71","18,725.20","15,256.54","1,963.15","21,264.97","14,926.07","11,079.39","28,708.58","12,815.33","67,473.18","25,555.77","40,757.49",552.21,"1,129.23",833.92,618.01,470.50,573.84,877.62,"1,104.17","1,103.06",734.20,538.94,604.79,"5,630.68","7,354.25","6,333.46","4,745.92","3,288.93","3,174.11","2,419.15","3,749.30","2,828.51","2,150.24","1,476.17","1,627.10","3,211.53","3,604.94","3,504.96","2,595.69","1,812.76","1,547.00","3,995.94","24,139.35"
North,"218,254.85","44,769.63","81,289.05","68,602.05","68,363.76","207,021.92","114,812.93","103,441.92","46,489.75","59,773.70","45,713.06","32,429.12","39,287.66","32,758.27","24,213.71","15,288.67","14,503.72","23,797.99","71,716.78","24,950.00","39,092.39","70,993.04","47,918.79","28,430.14","110,085.43","13,619.45","31,969.15","17,891.34","23,945.33","104,475.05","45,713.06","71,716.78","32,932.60","50,283.90","42,027.93","21,245.95","13,415.90","32,093.61","17,282.92","40,556.18","68,065.65","30,060.78","155,223.84","55,911.77","98,131.18","4,424.19","6,905.70","6,510.20","4,475.44","3,443.65","3,337.30","5,630.03","7,990.08","6,536.63","5,266.92","3,168.14","3,510.41","20,709.14","27,209.65","23,074.25","17,481.93","11,299.37","11,024.36","9,207.82","12,403.56","11,541.76","8,023.82","5,804.01","5,406.23","11,501.32","14,806.09","11,532.49","9,458.11","5,495.36","5,618.14","26,840.61","58,162.95"
North Urban,"97,616.22","20,334.73","44,254.42","26,839.08","26,522.72","93,206.37","51,261.85","46,354.37","19,255.20","24,644.84","20,221.29","14,831.65","18,026.18","15,502.17","11,387.17","7,026.37","6,197.84","9,812.23","32,857.83","13,710.71","16,800.03","34,618.68","23,045.61","13,389.79","51,418.71","7,433.28","16,064.59","10,158.83","11,803.45","48,360.00","20,221.29","32,857.83","15,593.04","24,640.70","18,831.79","8,695.98","7,506.45","12,788.01","6,831.51","20,496.30","31,275.08","13,832.01","69,257.42","23,122.23","45,225.40","2,423.22","3,843.05","3,663.40","2,652.37","1,907.60","1,686.13","3,183.80","4,260.64","3,786.21","2,944.86","1,860.29","1,923.84","9,977.97","13,067.63","11,573.07","8,923.23","5,662.95","5,088.60","4,389.66","6,150.61","5,652.85","4,261.13","2,833.71","2,427.50","5,588.31","6,917.03","5,920.23","4,662.10","2,829.25","2,661.10","14,460.23","27,246.36"
North Rural,"120,638.64","24,434.90","37,034.63","41,762.97","41,841.04","113,815.55","63,551.08","57,087.56","27,234.55","35,128.85","25,491.77","17,597.47","21,261.48","17,256.11","12,826.55","8,262.30","8,305.89","13,985.76","38,858.94","11,239.29","22,292.36","36,374.36","24,873.18","15,040.35","58,666.72","6,186.17","15,904.56","7,732.52","12,141.87","56,115.05","25,491.77","38,858.94","17,339.56","25,643.19","23,196.14","12,549.97","5,909.45","19,305.60","10,451.42","20,059.88","36,790.58","16,228.76","85,966.41","32,789.54","52,905.78","2,000.97","3,062.65","2,846.79","1,823.07","1,536.04","1,651.17","2,446.23","3,729.43","2,750.42","2,322.06","1,307.85","1,586.57","10,731.17","14,142.01","11,501.18","8,558.70","5,636.42","5,935.76","4,818.16","6,252.96","5,888.92","3,762.69","2,970.31","2,978.73","5,913.01","7,889.06","5,612.26","4,796.01","2,666.11","2,957.04","12,380.38","30,916.59"
West,"234,709.30","54,786.46","57,815.93","78,051.23","98,842.14","211,950.48","120,830.07","113,879.23","48,507.14","62,737.97","48,961.22","34,730.39","41,474.68","37,322.17","26,597.82","16,435.06","15,411.21","36,135.73","76,205.07","16,871.98","34,749.56","62,814.37","40,069.33","24,464.99","97,563.93","9,227.34","30,212.84","13,222.64","21,970.96","113,527.24","48,961.22","76,205.07","34,881.80","45,660.14","42,565.64","28,810.56","9,614.41","39,733.88","24,496.23","40,126.03","68,585.76","29,733.17","158,735.99","56,582.43","101,407.63","2,954.37","4,847.84","4,766.57","3,608.23","2,567.99","2,750.16","3,778.27","5,291.50","5,292.13","4,001.72","2,400.70","2,292.95","17,154.23","22,915.10","22,745.03","17,381.00","10,898.81","10,023.43","7,869.81","11,061.64","10,909.32","8,241.88","5,697.04","5,469.86","9,284.42","11,853.46","11,835.72","9,139.12","5,201.77","4,553.57","18,337.53","61,754.14"
West Urban,"109,723.96","25,542.58","37,946.36","36,280.09","35,497.51","103,323.03","57,171.77","52,552.19","19,109.74","24,598.95","22,090.32","16,601.10","21,176.95","18,365.17","13,359.89","8,354.66","7,267.23","14,601.05","37,778.05","11,545.38","16,120.19","36,033.42","23,177.01","13,040.06","52,153.61","6,045.45","17,615.20","9,123.16","12,676.70","56,143.22","22,090.32","37,778.05","18,087.10","26,378.90","20,279.59","12,564.95","6,597.66","16,044.87","9,050.26","22,897.97","35,177.48","15,126.00","75,779.53","23,218.56","52,241.31","1,918.53","3,308.63","3,289.03","2,525.50","1,662.36","1,679.88","2,645.15","3,673.07","3,501.03","2,719.12","1,687.90","1,609.80","9,654.52","13,522.49","12,856.41","10,041.56","6,457.93","5,573.34","4,200.60","6,457.76","6,218.95","4,938.49","3,181.01","2,857.49","5,453.92","7,064.73","6,637.47","5,103.07","3,276.92","2,715.85","12,057.16","31,650.92"
West Rural,"124,985.34","29,243.88","19,869.57","41,771.14","63,344.63","108,627.45","63,658.30","61,327.03","29,397.40","38,139.01","26,870.90","18,129.28","20,297.73","18,957.00","13,237.93","8,080.40","8,143.98","21,534.69","38,427.01","5,326.60","18,629.37","26,780.95","16,892.33","11,424.93","45,410.31","3,181.89","12,597.64","4,099.48","9,294.25","57,384.01","26,870.90","38,427.01","16,794.70","19,281.24","22,286.05","16,245.60","3,016.76","23,689.01","15,445.97","17,228.06","33,408.27","14,607.17","82,956.46","33,363.87","49,166.33","1,035.84","1,539.22","1,477.54","1,082.73",905.63,"1,070.27","1,133.12","1,618.42","1,791.10","1,282.59",712.81,683.15,"7,499.71","9,392.62","9,888.62","7,339.44","4,440.87","4,450.09","3,669.22","4,603.88","4,690.37","3,303.39","2,516.03","2,612.36","3,830.49","4,788.74","5,198.25","4,036.05","1,924.84","1,837.72","6,280.37","30,103.23"
South,"269,020.09","71,945.46","63,181.34","89,301.00","116,537.75","245,554.10","132,969.31","136,050.78","44,963.12","59,510.10","51,161.88","36,614.89","47,815.24","43,471.07","34,063.41","23,584.44","23,960.94","38,413.52","84,430.13","19,016.02","33,878.85","72,268.97","46,016.61","25,872.33","106,147.82","8,916.92","36,810.93","15,932.77","27,056.04","127,901.20","51,161.88","84,430.13","43,503.70","53,977.66","46,108.11","34,995.67","12,091.72","42,244.96","25,289.54","46,132.10","77,493.97","32,896.84","172,222.86","54,407.36","127,000.05","3,241.36","6,689.91","5,401.81","3,841.05","3,013.26","2,803.64","3,100.67","5,984.08","6,116.34","3,972.36","2,596.65","2,753.85","18,291.31","27,725.30","26,252.36","19,879.74","13,510.86","12,943.92","9,459.43","14,303.47","12,752.57","9,754.89","7,023.68","6,668.71","8,831.88","13,421.83","13,499.79","10,124.85","6,487.18","6,275.22","21,991.84","80,542.01"
South Urban,"116,535.03","31,298.75","38,277.27","38,169.61","40,088.14","109,541.23","57,631.09","58,903.93","18,894.58","24,704.64","21,317.41","15,507.35","21,225.73","19,807.48","15,048.46","10,397.54","9,843.82","13,966.98","36,733.08","11,497.45","16,550.23","36,437.51","22,766.10","12,292.64","52,987.74","5,255.98","19,141.36","9,810.61","14,060.08","56,540.56","21,317.41","36,733.08","19,996.24","27,711.71","19,732.51","13,744.97","7,370.41","16,061.44","9,024.78","23,912.60","34,462.01","14,250.72","76,674.91","23,420.45","57,666.34","1,920.37","4,047.11","3,323.31","2,440.20","1,778.92","1,591.96","1,768.48","3,761.50","3,677.37","2,410.48","1,693.59","1,684.93","8,725.79","14,040.30","13,671.41","10,241.19","6,975.74","6,242.22","4,427.96","7,317.62","6,742.45","5,081.28","3,436.87","3,087.43","4,297.83","6,722.68","6,928.95","5,159.91","3,538.87","3,154.79","13,231.88","36,380.97"
South 10L+,"51,247.96","13,989.51","21,292.59","16,445.08","13,510.30","49,247.20","25,456.88","25,791.08","8,201.14","10,641.63","8,868.60","6,428.11","9,628.65","8,920.21","6,566.13","4,607.73","4,455.50","4,526.04","16,056.76","6,545.75","7,972.28","18,323.84","11,530.72","5,978.86","26,296.12","2,988.33","9,468.44","5,426.10","7,027.74","24,976.97","8,868.60","16,056.76","9,179.28","14,018.02","8,449.91","5,345.36","4,135.56","5,880.28","2,889.75","11,764.18","15,525.69","6,155.25","34,432.86","10,288.98","26,489.99","1,075.95","2,266.67","1,868.89","1,290.54",982.17,835.02,"1,036.49","2,166.64","2,127.26","1,325.87",932.29,911.93,"4,305.82","7,224.90","6,793.12","4,971.07","3,351.18","3,119.29","2,061.32","3,741.30","3,286.44","2,440.69","1,632.65","1,557.42","2,244.50","3,483.60","3,506.68","2,530.37","1,718.53","1,561.88","7,422.29","16,571.24"
South 10-75L,"20,790.67","5,605.87","7,571.81","7,508.84","5,710.02","20,037.50","10,015.36","10,775.31","3,335.27","4,362.08","3,458.75","2,431.94","3,325.56","3,464.35","2,931.94","2,062.98","2,211.82","1,531.64","5,757.50","2,171.99","3,256.05","6,812.98","4,225.86","2,304.12","10,069.03",981.40,"3,767.43","1,909.15","2,708.46","9,221.85","3,458.75","5,757.50","3,537.62","5,185.43","3,308.16","2,202.35","1,406.91","2,477.35","1,154.63","4,697.49","5,641.73","2,352.95","13,192.08","4,221.20","10,622.39",n.a,750.95,655.96,502.23,408.52,340.34,n.a,739.13,715.78,438.62,290.32,424.22,"1,627.55","2,598.31","2,587.12","2,110.37","1,400.44","1,500.81",822.17,"1,368.99","1,339.46","1,058.97",739.05,731.33,805.38,"1,229.32","1,247.65","1,051.40",661.39,769.48,"2,661.12","7,072.56"
South Below 10L Urban,"65,287.07","17,309.24","16,984.69","21,724.54","26,577.84","60,294.03","32,174.21","33,112.85","10,693.44","14,063.01","12,448.81","9,079.24","11,597.08","10,887.27","8,482.33","5,789.82","5,388.32","9,440.94","20,676.32","4,951.71","8,577.95","18,113.67","11,235.37","6,313.78","26,691.61","2,267.65","9,672.92","4,384.51","7,032.33","31,563.58","12,448.81","20,676.32","10,816.96","13,693.69","11,282.60","8,399.61","3,234.85","10,181.16","6,135.03","12,148.42","18,936.32","8,095.47","42,242.05","13,131.47","31,176.35",844.42,"1,780.44","1,454.42","1,149.66",796.76,756.94,731.99,"1,594.86","1,550.11","1,084.61",761.31,773.01,"4,419.97","6,815.40","6,878.29","5,270.13","3,624.56","3,122.93","2,366.64","3,576.32","3,456.01","2,640.59","1,804.23","1,530.01","2,053.33","3,239.08","3,422.28","2,629.54","1,820.33","1,592.92","5,809.59","19,809.74"
South Rural,"152,485.07","40,646.72","24,904.06","51,131.39","76,449.61","136,012.88","75,338.22","77,146.85","26,068.54","34,805.46","29,844.47","21,107.55","26,589.51","23,663.59","19,014.95","13,186.90","14,117.11","24,446.54","47,697.05","7,518.56","17,328.62","35,831.46","23,250.51","13,579.70","53,160.08","3,660.95","17,669.57","6,122.16","12,995.96","71,360.65","29,844.47","47,697.05","23,507.46","26,265.95","26,375.60","21,250.71","4,721.31","26,183.52","16,264.77","22,219.50","43,031.96","18,646.12","95,547.95","30,986.91","69,333.71","1,320.99","2,642.80","2,078.51","1,400.85","1,234.34","1,211.68","1,332.19","2,222.59","2,438.98","1,561.89",903.06,"1,068.92","9,565.51","13,685.00","12,580.95","9,638.55","6,535.12","6,701.70","5,031.46","6,985.85","6,010.11","4,673.61","3,586.81","3,581.28","4,534.05","6,699.15","6,570.84","4,964.94","2,948.31","3,120.42","8,759.96","44,161.04"
West Bengal - Below 75L Urban,"14,627.51","3,536.52","2,544.82","3,694.63","8,388.06","12,674.78","7,584.65","7,042.86","2,523.86","3,240.65","2,515.94","1,799.15","2,600.10","2,511.04","1,955.38","1,294.98","1,226.20","2,729.26","4,399.26",646.59,"1,240.37","2,745.08","1,670.00",913.20,"3,985.45",n.a,"1,432.60",593.33,"1,071.99","6,910.30","2,515.94","4,399.26","2,382.66","2,085.29","2,102.70","2,279.08",426.01,"2,178.18","1,602.73","1,932.67","3,748.15","1,511.85","8,757.95","2,759.97","6,722.07",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,659.79,"1,010.21","1,075.08",857.59,670.97,725.44,269.87,527.58,544.41,360.61,292.77,309.70,n.a,482.64,530.67,496.98,378.20,415.74,720.22,"4,070.95"
AP / Telangana - Below 75L Urban,"23,605.45","6,338.17","4,469.81","7,175.11","11,960.52","21,034.51","11,643.46","11,961.99","3,804.28","5,039.92","4,822.77","3,587.13","4,461.62","3,967.58","2,871.37","1,879.99","1,797.84","4,534.84","8,048.75","1,387.68","2,611.10","5,655.30","3,513.91","1,959.35","8,266.40",603.73,"2,883.41","1,144.53","2,124.89","12,016.33","4,822.77","8,048.75","3,941.69","4,291.46","4,212.94","3,491.97",842.84,"4,219.03","2,863.42","3,672.35","7,190.08","3,090.21","15,313.78","4,539.07","10,845.21",n.a,499.48,343.36,301.69,n.a,n.a,n.a,465.10,468.98,265.78,n.a,n.a,"1,363.83","2,150.07","2,141.39","1,530.96",977.71,869.85,806.18,"1,107.70","1,017.19",758.52,502.55,420.58,557.65,"1,042.38","1,124.20",772.43,475.16,449.27,"1,576.60","6,816.19"
TN/Pondicherry - Below 75L Urban,"29,763.05","8,464.64","9,482.53","10,140.42","10,140.11","28,274.02","14,536.81","15,226.24","4,639.40","6,073.22","5,204.14","3,770.32","5,048.14","5,154.67","4,184.79","2,862.74","2,669.17","2,995.26","8,818.46","2,831.06","4,135.78","9,407.84","5,823.20","3,153.53","13,543.62","1,255.77","5,061.70","2,520.02","3,713.84","13,973.13","5,204.14","8,818.46","5,111.25","7,152.13","4,934.40","3,444.53","1,857.06","3,948.38","2,050.62","6,345.85","8,460.56","3,562.33","19,251.57","5,829.28","14,885.88",479.63,998.88,858.18,662.96,439.14,371.78,406.84,945.70,895.00,631.52,407.43,376.51,"2,255.71","3,567.49","3,584.64","2,761.21","1,792.02","1,526.09","1,163.59","1,890.56","1,823.28","1,347.86",912.33,745.67,"1,092.12","1,676.93","1,761.36","1,413.35",879.69,780.42,"3,256.46","9,589.96"
NW-U,"222,711.00","48,987.68","87,047.89","67,053.42","68,609.69","210,133.93","116,489.52","106,221.48","41,707.45","53,609.79","45,752.32","33,849.98","41,894.05","36,276.49","26,342.64","16,410.49","14,327.57","26,830.80","75,744.02","26,636.23","35,263.82","74,764.81","48,913.23","28,082.53","110,028.63","14,284.63","35,566.74","20,294.94","25,929.03","112,020.51","45,752.32","75,744.02","35,936.95","53,907.24","42,096.24","23,039.37","14,876.10","31,467.69","17,669.79","45,809.94","70,953.19","31,060.77","155,477.43","50,152.90","103,723.27","4,617.23","7,559.85","7,316.26","5,418.83","3,779.98","3,577.10","6,159.29","8,299.87","7,711.36","5,962.95","3,752.30","3,756.67","20,857.56","28,055.66","25,851.58","19,958.36","12,810.70","11,303.62","9,147.45","13,356.84","12,572.20","9,637.70","6,330.45","5,608.12","11,710.11","14,698.82","13,279.39","10,320.65","6,480.25","5,695.50","28,198.47","62,612.04"
NW-U+R,"500,776.18","109,428.57","148,346.78","161,075.11","191,354.29","459,898.20","260,817.35","239,958.82","107,253.82","138,676.83","105,765.86","74,342.85","88,613.38","76,642.63","55,250.01","34,657.77","32,592.71","67,799.45","162,956.23","44,574.84","81,403.33","144,082.30","95,156.78","57,817.15","225,485.63","24,449.62","66,911.16","33,020.57","49,546.13","239,598.86","105,765.86","162,956.23","74,283.91","103,043.14","94,113.73","56,016.81","24,465.55","81,316.23","47,948.71","86,299.50","149,811.16","65,953.00","346,163.77","126,042.58","216,759.82","7,860.77","12,572.78","11,892.77","8,555.02","6,373.68","6,468.91","10,088.68","14,052.61","12,545.96","9,826.39","5,939.03","6,291.00","41,039.16","54,117.62","48,925.52","37,373.98","23,830.26","22,732.01","18,505.93","25,561.09","23,985.04","17,365.03","12,264.82","11,619.36","22,533.24","28,556.53","24,940.48","20,008.95","11,565.44","11,112.65","48,253.34","130,378.07"
NW-R,"304,138.70","66,017.06","76,357.60","100,331.00","127,450.09","275,349.47","158,135.94","146,002.76","70,502.48","91,359.39","65,037.54","44,180.63","51,741.71","44,871.46","32,052.96","20,127.84","19,804.70","42,711.96","95,922.34","22,698.37","51,018.83","80,029.87","53,210.38","33,527.41","131,048.70","12,568.43","36,338.85","16,322.07","27,304.67","140,793.80","65,037.54","95,922.34","42,816.65","56,970.94","56,869.18","34,814.17","12,289.71","52,469.11","31,510.13","46,994.79","87,392.43","38,473.57","209,777.22","81,990.68","125,850.07","4,093.57","6,382.52","5,907.19","4,032.36","3,163.03","3,377.02","4,982.02","7,240.27","6,289.43","4,922.82","2,809.80","3,050.38","23,058.93","30,151.45","26,819.49","20,175.30","12,654.06","12,810.54","10,689.46","14,119.38","13,185.29","9,034.18","6,719.94","6,682.18","12,369.47","16,032.07","13,634.20","11,141.12","5,934.12","6,128.35","25,141.72","75,334.09"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
